,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10
a,0.46116334,0.5012329,0.3092879,0.69976693,0.43872422,0.47681063,0.5735327,0.81617624,0.42933896,0.41954198
farmer,0.6664509,0.63849634,0.50097233,0.712478,0.65844303,0.5242647,0.3574508,0.5308676,0.53980166,0.44573307
plans,0.5412478,0.5920991,0.44805056,0.74103683,0.8397737,0.46133235,0.585141,0.68584174,0.6295396,0.47666362
the,0.7245754,0.32596913,0.33762884,0.71242344,0.68340653,0.47084334,0.74469703,0.46497965,0.5239688,0.46558756
season,0.52884203,0.7273787,0.38597786,0.7043494,0.72171885,0.60670996,0.77165776,0.61101645,0.48485684,0.4813518
by,0.3503039,0.48165587,0.35407513,0.69615364,0.44480392,0.44386068,0.7317603,0.7979053,0.62903965,0.43073183
selecting,0.6877762,0.72691053,0.6387982,0.8116017,0.2736851,0.55872554,0.3593472,0.5252304,0.7552481,0.4398651
seed,0.51442754,0.6820471,0.7749277,0.7874004,0.7686934,0.48892337,0.48497862,0.8196191,0.93003213,0.46828902
varieties,0.7690786,0.35501298,0.82879186,0.66580003,0.65730524,0.4932882,0.60450464,0.44390213,1.0,0.5177436
based,0.7143332,0.81084406,0.7100587,0.59792805,0.7131864,0.82547253,0.72534764,0.4620757,0.9982188,0.5626262
on,0.0,0.45570454,0.5383375,0.36733967,0.5397428,0.5794433,0.738146,0.6535182,0.7879414,0.402395
soil,0.63185763,0.828283,0.45266035,0.63431126,0.38419306,0.633941,0.6786727,0.49269974,0.6612226,0.4777832
moisture,0.49856317,0.6615013,0.70407945,0.64837307,0.629533,0.70824474,0.5653804,0.9038618,0.7115502,0.50544935
rainfall,0.67545635,0.37497574,0.8927887,0.54733217,0.59019524,0.72739637,0.49722132,0.74185586,0.63957936,0.47077784
forecast,0.77078474,0.6428245,0.76974076,0.47803813,0.61958903,0.9400541,0.5984577,0.51218885,0.6361427,0.62611824
and,0.29644173,0.33760378,0.3536097,0.23499633,0.533637,0.28349742,0.6725903,0.39835328,0.5272312,0.5218903
pest,0.78928775,0.78029084,0.4258692,0.4374929,0.39200556,0.9734277,0.42582723,0.4472151,0.6428177,0.5630333
resistance,0.64852923,0.81918377,0.37012458,0.55262476,0.5888989,0.6484923,0.40823087,0.80487746,0.55822146,0.38915738
field,0.7189684,0.47600904,0.5660456,0.6188377,0.5572932,0.4940449,0.27779296,0.78820217,0.41437954,0.24528417
preparation,0.8338508,0.7422791,0.71315986,0.7529937,0.66774535,0.70113915,0.3248505,0.74233633,0.29829302,0.7098484
includes,0.7957596,0.36296508,0.6616644,0.36092156,0.68124527,0.618124,0.39836082,0.5240562,0.37422264,0.58417803
ploughing,0.87734187,0.57413495,0.51874715,0.6099776,0.57765925,0.7403616,0.5550005,0.30230626,0.4630422,0.72777313
levelling,0.8669224,0.91971165,0.4478904,0.5994626,0.5407299,0.5810123,0.6369913,0.6086896,0.606477,0.6879333
applying,0.75092244,0.8206611,0.6752774,0.77218896,0.3903661,0.37790245,0.65944254,0.7101243,0.34294927,0.5804067
organic,0.63521874,0.54350597,0.8707108,0.51913095,0.56770825,0.4348922,0.69191986,0.75970995,0.59391344,0.47494543
manure,0.6257481,0.3441595,0.6908546,0.63622844,0.5859057,0.6925383,0.75665927,0.6505528,0.60047865,0.6757415
to,0.7541688,0.67782164,0.5036579,0.65772593,0.7316356,0.7107212,0.8541916,0.6607197,0.7794983,0.72191423
improve,0.46044034,0.4876212,0.5340491,0.19677642,0.59579766,0.5825999,0.87547636,0.62287486,0.72490627,0.44117245
health,0.3893574,0.69837457,0.83259296,0.4758695,0.7590922,0.2610335,0.7676977,0.53628147,0.6603985,0.27514422
during,0.46457013,0.57855517,0.85389423,0.6071192,0.74071205,0.70266867,0.6727643,0.70341706,0.54635894,0.48681524
growth,0.61607826,0.5878082,0.6424564,0.8718349,0.93212867,0.7529182,0.72199565,0.5756765,0.7380231,0.7347275
irrigation,0.48353973,0.42228183,0.6481741,0.52653956,0.9637763,0.7886504,0.6885678,0.64978814,0.7570678,0.740576
scheduling,0.63678676,0.77816755,0.27325708,0.65042925,0.8496933,0.6661072,0.44255966,0.51323307,0.48109856,0.71868026
nutrient,0.6071813,0.78362507,0.62335104,0.48735684,0.72232467,0.4985207,0.36077142,0.8083409,0.3077314,0.6656524
management,0.44324484,0.56243324,0.6876352,0.5803211,0.66689616,0.6204038,0.37564304,0.6897725,0.42467058,0.827248
are,0.42006934,0.2918522,0.6816561,0.38596162,0.684286,0.65257436,0.5837433,0.5490964,0.48667416,0.915566
monitored,0.72432727,0.7214296,0.54634345,0.64007676,0.5425143,0.72966534,0.45640108,0.6971112,0.46559894,0.9009839
using,0.56515974,0.65010035,0.4201831,0.4987614,0.5783633,0.5907137,0.66641706,0.36957347,0.5772393,0.96721995
drip,0.68316287,0.8342157,0.39423928,0.39971298,0.41288692,0.44481754,0.6271677,0.74982005,0.59758276,0.80228764
lines,0.55314195,0.55806226,0.7177246,0.3447184,0.2188412,0.43337622,0.39486617,0.7668314,0.5104704,0.72728735
fertigation,0.64052486,0.4236927,0.877267,0.61184615,0.29748815,0.7213841,0.51076835,0.64632875,0.48734328,0.4449274
harvest,0.5927762,0.5977908,0.89241624,0.6919115,0.3779055,0.65857637,0.716229,0.38548085,0.52477396,0.51907325
timing,0.60000527,0.9168863,0.6452388,0.6856151,0.39922836,0.7386989,0.57656074,0.5123945,0.47957388,0.45133194
depends,0.5448018,0.8321882,0.82677627,0.64435416,0.43936813,0.3727347,0.25193527,0.6411352,0.4256478,0.47116232
maturity,0.55433095,0.5846691,0.74244416,0.6718097,0.49586993,0.7967991,0.44115847,0.61469704,0.41684058,0.49358144
index,0.69119155,0.3868132,0.7853135,0.8580389,0.5078058,0.6297601,0.7460736,0.5038088,0.4399599,0.5730038
market,0.6514998,0.74125516,0.49513328,0.87550914,0.5511862,0.7613719,0.7565857,0.5807388,0.4938107,0.6382382
price,0.7121854,0.8231011,0.6471888,0.8742981,0.5454485,0.48978353,0.49121347,0.5846206,0.49453205,0.66493434
storage,0.52969277,0.81237125,0.42033318,0.76915205,0.5166047,0.6920246,0.4870369,0.648453,0.48454502,0.96934396
availability,0.7595977,0.42665038,0.56045496,0.840702,0.5316637,0.6125265,0.7348807,0.6797943,0.5020226,0.95506847
